key,title,description,acceptanceCriteria,estimatedCost,priority,link,draftMode,key:manager
userStory-01,title1,description1,ac1,1,Must,https://www.example.org,true,manager-01
userStory-02,title2,description2,ac2,3,Should,https://www.example2.org,true,manager-01
#title
userStory-03,t,description2,ac2,3,Should,https://www.example2.org,true,manager-01
userStory-04,tt,description2,ac2,3,Should,https://www.example2.org,true,manager-01
userStory-05,74caracteresaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,description2,ac2,3,Should,https://www.example2.org,true,manager-01
userStory-06,75caracteresaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,description2,ac2,3,Should,https://www.example2.org,true,manager-01
userStory-07,37caracteresaaaaaaaaaaaaaaaaaaaaaaaaa,description2,ac2,3,Should,https://www.example2.org,true,manager-01
userStory-08,'Or 'A' = 'A,description1,ac1,1,Must,https://www.example.org,true,manager-01
userStory-09,"<script>console.log(""hackeadoo"")</script>",description1,ac1,1,Must,https://www.example.org,true,manager-01
userStory-10,مرحبا,description1,ac1,1,Must,https://www.example.org,true,manager-01
#description
userStory-11,title1,d,ac1,1,Must,https://www.example.org,true,manager-01
userStory-12,title1,dd,ac1,1,Must,https://www.example.org,true,manager-01
userStory-13,title1,50caracteresaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,ac1,1,Must,https://www.example.org,true,manager-01
userStory-14,title1,99caracteresaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,ac1,1,Must,https://www.example.org,true,manager-01
userStory-15,title1,100caracteresaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,ac1,1,Must,https://www.example.org,true,manager-01
#ac
userStory-15-1,title1,description,a,1,Must,https://www.example.org,true,manager-02
userStory-15-2,title1,description,ac,1,Must,https://www.example.org,true,manager-02
userStory-15-3,title1,description,99caracteresaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1,Must,https://www.example.org,true,manager-02
userStory-15-4,title1,description,100caracteresaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1,Must,https://www.example.org,true,manager-02
#cost
userStory-16,title1,description1,ac1,1,Must,https://www.example.org,true,manager-01
userStory-17,title1,description1,ac1,2,Must,https://www.example.org,true,manager-01
userStory-18,title1,description1,ac1,9,Must,https://www.example.org,true,manager-01
userStory-18-1,title1,description1,ac1,9999,Must,https://www.example.org,true,manager-02
userStory-18-2,title1,description1,ac1,10000,Must,https://www.example.org,true,manager-02
#priority
userStory-19,title1,description1,ac1,10,Must,https://www.example.org,true,manager-01
userStory-20,title1,description1,ac1,10,Should,https://www.example.org,true,manager-01
userStory-21,title1,description1,ac1,10,Could,https://www.example.org,true,manager-01
userStory-22,title1,description1,ac1,10,WillNot,https://www.example.org,true,manager-01
#url
userStory-23,title1,description1,ac1,10,WillNot,https://a.com,true,manager-01
userStory-24,title1,description1,ac1,10,WillNot,https://aa.com,true,manager-01
userStory-25,title1,description1,ac1,10,WillNot,https://www.ejemplo.com/abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuv,true,manager-01
userStory-26,title1,description1,ac1,10,WillNot,https://www.ejemplo.com/abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvw,true,manager-01
userStory-27,title1,description1,ac1,10,WillNot,https://¿?.com,true,manager-01
userStory-28,title1,description1,ac1,10,WillNot,ftp://,true,manager-02
userStory-29,title1,description1,ac1,10,WillNot,ftp://a,true,manager-02
userStory-30,title1,description1,ac1,10,WillNot,http://www.lorem-ipsum.org/dolor/sit/amet/consectetur/adipiscing/elit/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/XY,true,manager-02
userStory-31,title1,description1,ac1,10,WillNot,http://example.org?a=1&b=2,true,manager-02
userStory-32,title1,description1,ac1,10,WillNot,http://www.lorem-ipsum.org/dolor/sit.html,true,manager-02
userStory-33,title1,description1,ac1,10,WillNot,http://www.lorem-ipsum.org/dolor/sit.html#dolor,true,manager-02
userStory-34,111historiaPublicada,description1,ac1,10,WillNot,http://www.lorem-ipsum.org/dolor/sit.html#dolor,false,manager-01